Experimental molecular inhibitory activities against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
92,OC1C[C@H](N(C1)C(=O)CCC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)C(O)=O,44384859,1
93,O(Cc1ccccc1)C(=O)[C@H]1N(CCC1)C(=O)CCC(=O)C(NC(=O)c1ccccc1C)Cc1ccccc1,44385582,1
94,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)N)c1ccccc1,44386286,1
95,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C,5462501,1
96,S[C@@H]([C@@H](CC)C)C(=O)NCC(O)=O,44446953,1
97,S[C@@H]([C@@H](CC)C)C(=O)N[C@H](C(O)=O)C,44446954,1
98,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc(Oc2ccccc2)ccc1)C(O)=O,44446968,1
99,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(Oc2ccccc2)cc1)C(O)=O,44446969,1
100,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1OCc1ccccc1)C(O)=O,44446970,1
101,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2cc(F)c(F)cc2)cc1)C(O)=O,44446979,1
102,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccc(cc2)C(F)(F)F)cc1)C(O)=O,44446980,1
103,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(cc1)-c1ccccc1)C(O)=O,44446952,1
104,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,44446956,1
105,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc(ccc1)-c1ccccc1)C(O)=O,44446965,1
106,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(O)=O,44446967,1
107,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc(OCc2ccccc2)ccc1)C(O)=O,44446972,1
108,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2)cc1)C(O)=O,44446975,1
109,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1cc2c(cc1)cccc2)C(O)=O,44446960,1
110,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccccc1-c1ccccc1)C(O)=O,44446963,1
111,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(O)=O,44446974,1
112,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,44446957,1
113,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1c2c(ccc1)cccc2)C(O)=O,44446959,1
114,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2F)cc1)C(O)=O,44446976,1
115,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](Cc1ccc(OCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)cc1)C(O)=O,44446984,1
116,S1SC[C@H](NC(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)CN)CCC(O)=O)CC(O)=O)Cc2ccc(O)cc2)[C@H](O)C)C1)CCCCN)Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)Cc1ccc(O)cc1)CCCNC(N)=N)CC(C)C)CO)C(=O)N[C@@H](Cc1nc[nH]c1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)C)CO,44447656,1
