Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
87,O=C1NC[C@H](N1C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C)C(O)=O,44331702,0.0035
88,SC[C@@H](C(=O)N1c2c(C[C@H]1C(O)=O)cccc2)C,22818650,0.0037
89,S1C[C@H](N(C(=O)CCS)[C@H]1c1ccccc1O)C(O)=O,71244,0.003715
90,[Si](O)(O)([C@@H](NC(=O)c1ccccc1)Cc1ccccc1)C[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,11191083,0.0038
91,OC(=O)C1N(CCC1)C(=O)C(NC(CCc1ccccc1)C(O)=O)CCCCN,3937,0.003981
92,S1CCSC12C[C@H](N(C2)C(=O)CP(O)(=O)CCCCc1ccccc1)C(O)=O,13136852,0.003981
93,SC[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,14390729,0.004
94,O=C1N(c2c(CC[C@@H]1N[C@@H](CCCCNC(OC(C)(C)C)=O)C(O)=O)cccc2)CC(O)=O,13500754,0.004
95,S(C[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O)c1ccccc1,13500773,0.004
96,SC[C@H]1Cc2cc(CCCCC[C@H](NC1=O)C(O)=O)ccc2,10041763,0.004
97,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCC2)C)CCc1ccccc1,5362129,0.004
98,SC[C@@H]1Cc2cc(CCCCC[C@H](NC1=O)C(O)=O)ccc2,10710922,0.004
99,S(C)c1ccc(cc1)CS[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586857,0.0041
100,BrCCN1c2c(cccc2)\C(=N\C(=S)NCc2cc3c(cc2O)cccc3)\C1=O,145959902,0.00411
101,S(Cc1cc2c(cc1)cccc2)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586816,0.0042
102,O(CC(=O)C(NC(=O)c1ccccc1)Cc1ccccc1)CC(=O)N1CCC[C@@H]1C(O)=O,44386764,0.0044
