Experimental pIC-50 values of molecules towards SARS-COV-2 clinical trials,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
59,[H]N([H])C(=O)C1=C2N([H])C([H])([H])C([H])([H])[C@]([H])(N2N=C1C1=C([H])C([H])=C(OC2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])=C([H])[H])C([H])([H])C1([H])[H],135565884,0.002
60,[H]OC(=O)C([H])([H])C1=C(N(C(=O)C2=C([H])C([H])=C(Cl)C([H])=C2[H])C2=C1C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])([H])[H],3715,0.002
61,[H]OC1=C(O[H])[C@]([H])(OC1=O)C([H])(O[H])C([H])([H])O[H],54670067,0.002
62,[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H].[H]N1C(=O)C2=C(N=C1C1=C(OC([H])([H])C([H])([H])[H])C([H])=C([H])C(=C1[H])S(=O)(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C(=NN2C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],135413523,0.0022
63,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(OC1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F)C1=C([H])C([H])=C([H])C([H])=C1[H],3386,0.0025
64,[H]O[C@@]1([H])[C@]([H])(O[C@]2([H])[C@@]([H])(C([H])([H])[H])[C@]([H])(O[C@]3([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@](OC([H])([H])[H])(C([H])([H])[H])C3([H])[H])[C@]([H])(C(=O)O[C@]([H])(C([H])([H])C([H])([H])[H])[C@](O[H])(C([H])([H])[H])[C@]([H])(O[H])[C@]([H])(N(C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]2(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]1([H])N(C([H])([H])[H])C([H])([H])[H],447043,0.0026
65,[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@]1([H])N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C1=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C(=O)N([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],439302,0.0027
66,[H]N1C([H])=C(C2=NC([H])=C(N2[H])C(=O)C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C12,53379371,0.0028
67,[H]OC(=O)C1=C(C(=NC2=C1C([H])=C(F)C([H])=C2[H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1F)C([H])([H])[H],57030,0.003
68,[H]N([H])C1=NC([H])=C([H])N2C(=NC(=C12)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=N1)[C@@]1([H])N(C(=O)C#CC([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],71226662,0.0031
69,[H]OC(=O)C1=C([H])C([H])=C([H])C([H])=C1OC(=O)C([H])([H])[H],2244,0.0032
70,[H]N([H])C([H])(C([H])([H])C(=O)N1C([H])([H])C2=NN=C(N2C([H])([H])C1([H])[H])C(F)(F)F)C([H])([H])C1=C([H])C(F)=C(F)C([H])=C1F,4369359,0.0035
71,[H]OC(=O)[C@]1([H])N(C(=O)C([H])(N([H])S(=O)(=O)C2=C([H])C([H])=C([H])C3=C2N([H])C([H])([H])C([H])(C([H])([H])[H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],92722,0.00388
72,[H]N(C(=O)[C@@]1([H])OC([H])([H])C([H])([H])C([H])([H])N([H])C1([H])[H])C([H])(C#N)C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C2=C(OC(=O)N2C([H])([H])[H])C([H])=C1[H],118253852,0.003981
73,[H]C1=NN(C([H])=N1)C([H])([H])C1(OC([H])([H])C([H])(O1)C([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C2=C([H])C([H])=C(C([H])=C2[H])N2C([H])=NN(C2=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C1=C(Cl)C([H])=C(Cl)C([H])=C1[H],3793,0.004
74,[H]OC(=O)[C@@]1([H])N(C(=O)C([H])(N([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C1([H])[H],5362129,0.004
75,[H]OP(=O)(O[H])O[H].[H]OP(=O)(O[H])O[H].[H]N(C1=C2C([H])=C([H])C(Cl)=C([H])C2=NC([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],64927,0.0047
76,[Cl-].[H]C1=C([H])C(C([H])=C2SC3=C(N=C12)C([H])=C([H])C(=C3[H])N(C([H])([H])[H])C([H])([H])[H])=[N+](C([H])([H])[H])C([H])([H])[H],6099,0.0054
