Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
139,O(CN(C(=O)Cn1nnc2c1cccc2)c1c(cccc1CC)CC)C,661510,1
140,OC(=O)C(O)=O.O=C(NC(C)C)CN1CCN(CC1)c1ncccn1,651293,1
141,O=C(c1cc([N+](=O)[O-])ccc1)c1n([n+]([O-])c2c1cccc2)CCC(=O)N,24819986,1
142,s1cc(-c2ccccc2)c(C(O)=O)c1NC(=O)\C=C\c1sccc1,1177253,1
143,S(C)c1nc2c(n1C(=O)c1ccc(OC)cc1)cc1OCCOc1c2,1008368,1
144,ClCC(=O)N(CC1=CC(=O)Nc2c1cccc2)c1ccc(OC)cc1,1154427,1
145,S(C(F)F)c1ccc(NS(=O)(=O)c2ccc(cc2)C(C)C)cc1,2472898,1
146,s1c(nnc1SC(=O)N1c2c(Sc3c1cccc3)cccc2)C,1160939,1
147,Cl.Fc1cc2c(N(CCN3CCOCC3)C(=O)C2NC(=O)C)cc1,24761173,1
148,Clc1cc(ccc1Cl)C(=O)N\N=C(\Cn1nc([N+](=O)[O-])nn1)/C,5341357,1
149,Clc1nnc(Cl)cc1C(=O)Nc1cc(OC)c(OC)c(OC)c1,6403417,1
150,O1CCCC1CNC(=O)CCNC(=O)CN1C=Nc2c(cccc2)C1=O,4182036,1
151,S(=O)(=O)(Nc1cc(ccc1)C(O)=O)c1ccc(cc1)C1CCCCC1,1069254,1
152,O1N=C(\C(=C\c2oc(cc2)-c2ccccc2[N+](=O)[O-])\C1=O)c1ccccc1,2301119,1
153,Clc1ccc(N(C(=O)CCl)c2c3c(n(c2)C(=O)C)cccc3)cc1,2017227,1
154,O(C)c1ccccc1-n1c2c(cc(OC)c3c2cccc3)c(C(O)=O)c1C,1224165,1
155,O=C1Nc2c(cccc2)C(=C1)C(=O)N1CCN(CC1)c1cccc(C)c1C,2443805,1
